tls_id,intersection_type,phase_no,approach_edge,green_duration,yellow_duration,green_state,yellow_state
gneJ11,simpang_4,1,gneE12,30,3,GGGrrrrrrrrr,yyyrrrrrrrrr
gneJ11,simpang_4,2,-gneE13,30,3,rrrGGGrrrrrr,rrryyyrrrrrr
gneJ11,simpang_4,3,-gneE14,30,3,rrrrrrGGGrrr,rrrrrryyyrrr
gneJ11,simpang_4,4,-gneE11,30,3,rrrrrrrrrGGG,rrrrrrrrryyy
gneJ2,simpang_4,1,gneE1,30,3,GGGrrrrrrrrr,yyyrrrrrrrrr
gneJ2,simpang_4,2,-gneE2,30,3,rrrGGGrrrrrr,rrryyyrrrrrr
gneJ2,simpang_4,3,-gneE8,30,3,rrrrrrGGGrrr,rrrrrryyyrrr
gneJ2,simpang_4,4,gneE20,30,3,rrrrrrrrrGGG,rrrrrrrrryyy
gneJ21,simpang_4,1,gneE24,30,3,GGGrrrrrrrrr,yyyrrrrrrrrr
gneJ21,simpang_4,2,-gneE26,30,3,rrrGGGrrrrrr,rrryyyrrrrrr
gneJ21,simpang_4,3,-gneE27,30,3,rrrrrrGGGrrr,rrrrrryyyrrr
gneJ21,simpang_4,4,gneE25,30,3,rrrrrrrrrGGG,rrrrrrrrryyy
gneJ3,simpang_4,1,gneE4,30,3,GGGrrrrrrrrr,yyyrrrrrrrrr
gneJ3,simpang_4,2,-gneE6,30,3,rrrGGGrrrrrr,rrryyyrrrrrr
gneJ3,simpang_4,3,-gneE5,30,3,rrrrrrGGGrrr,rrrrrryyyrrr
gneJ3,simpang_4,4,gneE2,30,3,rrrrrrrrrGGG,rrrrrrrrryyy
gneJ7,simpang_4,1,gneE21,30,3,GGGrrrrrrrrr,yyyrrrrrrrrr
gneJ7,simpang_4,2,-gneE23,30,3,rrrGGGrrrrrr,rrryyyrrrrrr
gneJ7,simpang_4,3,-gneE22,30,3,rrrrrrGGGrrr,rrrrrryyyrrr
gneJ7,simpang_4,4,gneE7,30,3,rrrrrrrrrGGG,rrrrrrrrryyy
